id,sentence1,sentence2,manual_similarity
227,மோட்டார் சைக்கிள் ஓடட பந்தயத்தில் ஒரு மோட்டார் சைக்கிள் கீழே விழுந்து விட்டது,ஈருருளிப் பந்தயம் நடைபெறுகிறது,0
228,மோட்டார் சைக்கிள் ஓடட பந்தயத்தில் ஒரு மோட்டார் சைக்கிள் கீழே விழுந்து விட்டது,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,0.4
229,மோட்டார் சைக்கிள் ஓடட பந்தயத்தில் ஒரு மோட்டார் சைக்கிள் கீழே விழுந்து விட்டது,மோட்டார் பந்தய விபத்து நடந்துள்ளது,1
230,மோட்டார் சைக்கிள் ஓடட பந்தயத்தில் ஒரு மோட்டார் சைக்கிள் கீழே விழுந்து விட்டது,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0.4
231,மோட்டார் சைக்கிள் ஓடட பந்தயத்தில் ஒரு மோட்டார் சைக்கிள் கீழே விழுந்து விட்டது,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,1
232,ஒருவர் வண்டி ஓட்டுகின்றார்,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,0
233,ஒருவர் வண்டி ஓட்டுகின்றார்,ஈருருளிப் பந்தயம் நடைபெறுகிறது,0.2
234,ஒருவர் வண்டி ஓட்டுகின்றார்,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,0
235,ஒருவர் வண்டி ஓட்டுகின்றார்,மோட்டார் பந்தய விபத்து நடந்துள்ளது,0
236,ஒருவர் வண்டி ஓட்டுகின்றார்,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0
237,ஒருவர் வண்டி ஓட்டுகின்றார்,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0.4
238,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,ஈருருளிப் பந்தயம் நடைபெறுகிறது,0
239,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,0.2
240,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,மோட்டார் பந்தய விபத்து நடந்துள்ளது,0.2
241,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0
242,ஒருவர் மோட்டார் வண்டியுடன் வீழ்ந்து கிடப்பதை வேறொருவர் புகைப்படம் பிடிக்கின்றார்.,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0.4
243,ஈருருளிப் பந்தயம் நடைபெறுகிறது,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,0
244,ஈருருளிப் பந்தயம் நடைபெறுகிறது,மோட்டார் பந்தய விபத்து நடந்துள்ளது,0
245,ஈருருளிப் பந்தயம் நடைபெறுகிறது,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0.4
246,ஈருருளிப் பந்தயம் நடைபெறுகிறது,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0
247,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,மோட்டார் பந்தய விபத்து நடந்துள்ளது,0.6
248,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0.466666667
249,மோட்டார் வண்டியால் ஒருவர் விழுந்து கிடக்கிறார்.,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0.8
250,மோட்டார் பந்தய விபத்து நடந்துள்ளது,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,0.4
251,மோட்டார் பந்தய விபத்து நடந்துள்ளது,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0.8
252,வீரன் ஒருவன் தடம் புரள இன்னொருவன் வேகமாக ஒடுகிறான்.,மோட்டார் வாகனம் விபத்துக்குள்ளாகிறது.,0.4
253,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,1
254,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,ஒருவர் குண்டு எறிகின்றார்,0.2
255,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,0.4
256,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,நபர் ஒருவர் பந்து வீசுகின்றார்,0.8
257,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,ஒருவர் பந்தை வீசுகின்றார்.,0.8
258,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0
259,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,1
260,பேஸ்பால் வீரர் ஒருவர் பந்தை வீசுகிறார்,பந்தை ஒருவர் எறிகிறார்.,0.6
261,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,ஒருவர் குண்டு எறிகின்றார்,0.2
262,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,0.4
263,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,நபர் ஒருவர் பந்து வீசுகின்றார்,1
264,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,ஒருவர் பந்தை வீசுகின்றார்.,1
265,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0
266,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0.733333333
267,ஒரு நபர் தனது கையால் பந்தை ஏறிகின்றார்,பந்தை ஒருவர் எறிகிறார்.,1
268,ஒருவர் குண்டு எறிகின்றார்,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,0
269,ஒருவர் குண்டு எறிகின்றார்,நபர் ஒருவர் பந்து வீசுகின்றார்,0.2
270,ஒருவர் குண்டு எறிகின்றார்,ஒருவர் பந்தை வீசுகின்றார்.,0.266666667
271,ஒருவர் குண்டு எறிகின்றார்,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0
272,ஒருவர் குண்டு எறிகின்றார்,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0
273,ஒருவர் குண்டு எறிகின்றார்,பந்தை ஒருவர் எறிகிறார்.,0.2
274,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,நபர் ஒருவர் பந்து வீசுகின்றார்,0.4
275,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,ஒருவர் பந்தை வீசுகின்றார்.,0.4
276,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0.133333333
277,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0.4
278,ஒருவர் பந்தை பிடிக்கச் செல்லும் போது கால் சறுக்கி விழுகின்றார்.,பந்தை ஒருவர் எறிகிறார்.,0.4
279,நபர் ஒருவர் பந்து வீசுகின்றார்,ஒருவர் பந்தை வீசுகின்றார்.,1
280,நபர் ஒருவர் பந்து வீசுகின்றார்,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0.4
281,நபர் ஒருவர் பந்து வீசுகின்றார்,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0.6
282,நபர் ஒருவர் பந்து வீசுகின்றார்,பந்தை ஒருவர் எறிகிறார்.,1
283,ஒருவர் பந்தை வீசுகின்றார்.,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,0.4
284,ஒருவர் பந்தை வீசுகின்றார்.,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0.466666667
285,ஒருவர் பந்தை வீசுகின்றார்.,பந்தை ஒருவர் எறிகிறார்.,1
286,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,0.4
287,பையன் பந்தை எறிந்த பின்னான நிலையை காட்டுகிறது,பந்தை ஒருவர் எறிகிறார்.,0.333333333
288,பந்து வீச்சாளரின் கைகளில் இருந்து பந்து நழுவிச் செல்கிறது.,பந்தை ஒருவர் எறிகிறார்.,0.2
289,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,0.8
290,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய் ஒன்று கடித்து விளையாடுகின்றது,0.4
291,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,0
292,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,0
293,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,0
294,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.2
295,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.2
296,நாய் ஒன்று பூ ஒன்றை கவ்வி கொண்டு ஓடுகிறது,நாய் புல்லில் விளையாடுகிறது.,0.2
297,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய் ஒன்று கடித்து விளையாடுகின்றது,0.8
298,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,0.666666667
299,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,0
300,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,0
301,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.8
302,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.6
303,ஒரு நாய் வாயில் கவ்விய வண்ணம் உள்ளது,நாய் புல்லில் விளையாடுகிறது.,0
304,நாய் ஒன்று கடித்து விளையாடுகின்றது,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,0.4
305,நாய் ஒன்று கடித்து விளையாடுகின்றது,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,0.2
306,நாய் ஒன்று கடித்து விளையாடுகின்றது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,0.333333333
307,நாய் ஒன்று கடித்து விளையாடுகின்றது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.8
308,நாய் ஒன்று கடித்து விளையாடுகின்றது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.4
309,நாய் ஒன்று கடித்து விளையாடுகின்றது,நாய் புல்லில் விளையாடுகிறது.,0.2
310,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,0
311,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,0
312,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.2
313,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0
314,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய் புல்லில் விளையாடுகிறது.,0
315,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,1
316,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.4
317,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.4
318,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய் புல்லில் விளையாடுகிறது.,1
319,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,0.4
320,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.266666667
321,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய் புல்லில் விளையாடுகிறது.,0.866666667
322,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0.4
323,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,நாய் புல்லில் விளையாடுகிறது.,0
324,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,நாய் புல்லில் விளையாடுகிறது.,0.333333333
325,பாடகர் ஒருவர் பாடுகிறார்,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,1
326,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடல் பாடுகிறார்,0.8
327,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,0.333333333
328,பாடகர் ஒருவர் பாடுகிறார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,0.6
329,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,0.6
330,பாடகர் ஒருவர் பாடுகிறார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.4
331,பாடகர் ஒருவர் பாடுகிறார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.4
332,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடுகின்றார்.,0.2
333,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடல் பாடுகிறார்,0.8
334,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,0.8
335,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,0.6
336,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,0.6
337,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.4
338,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.4
339,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடுகின்றார்.,0.8
340,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,0.6
341,ஒருவர் பாடல் பாடுகிறார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,1
342,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,1
343,ஒருவர் பாடல் பாடுகிறார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.4
344,ஒருவர் பாடல் பாடுகிறார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.2
345,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் பாடுகின்றார்.,1
346,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,நபர் ஒருவர் பாட்டு பாடுகின்றார்,0.2
347,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,0.466666667
348,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.4
349,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.2
350,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,ஒருவர் பாடுகின்றார்.,0.6
351,நபர் ஒருவர் பாட்டு பாடுகின்றார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,1
352,நபர் ஒருவர் பாட்டு பாடுகின்றார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.6
353,நபர் ஒருவர் பாட்டு பாடுகின்றார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.6
354,நபர் ஒருவர் பாட்டு பாடுகின்றார்,ஒருவர் பாடுகின்றார்.,1
355,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,0.6
356,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.6
357,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,ஒருவர் பாடுகின்றார்.,1
358,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,0.4
359,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,ஒருவர் பாடுகின்றார்.,0.6
360,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,ஒருவர் பாடுகின்றார்.,0.6
361,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,0.8
362,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,0.6
363,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,0
364,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,0.6
365,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
366,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
367,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0.4
368,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.2
369,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,0.4
370,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,0
371,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,0.4
372,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
373,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
374,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0.4
375,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.2
376,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,0.4
377,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,0.4
378,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
379,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0.4
380,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0.4
381,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.6
382,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,0.4
383,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0.4
384,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0.6
385,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0.4
386,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0
387,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0.2
388,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
389,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0
390,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.2
391,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
392,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0.4
393,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.8
394,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0
395,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0
396,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0.4
397,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,0
398,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,0
399,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,0.2
400,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,0.533333333
401,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,0.8
402,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,0.4
403,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,0
404,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் சாகசம் செய்கின்றார்.,0.6
